

End Points:

   Index   Instance                                                                                                                                                                                                                                                                                                 Pin               Type   Start Clock                                                      End Clock                                                        Clock Delay    Req Per     Slack
   -----   --------                                                                                                                                                                                                                                                                                                 ---               ----   -----------                                                      ---------                                                        -----------    -------     -----
       1   myicon_inst/U0/U_ICON/U_TDO_reg                                                                                                                                                                                                                                                                          D                 reg    myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r   myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r         2.455   1000.000   990.490
       2   pre_prf_gen_inst/prf                                                                                                                                                                                                                                                                                     D                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   992.100
       3   prf_gen_inst/prf                                                                                                                                                                                                                                                                                         D                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   992.327
       4   pre_prf_gen_inst/delay_count[0]                                                                                                                                                                                                                                                                          CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.254
       5   pre_prf_gen_inst/delay_count[10]                                                                                                                                                                                                                                                                         CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.254
       6   pre_prf_gen_inst/delay_count[11]                                                                                                                                                                                                                                                                         CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.254
       7   pre_prf_gen_inst/delay_count[12]                                                                                                                                                                                                                                                                         CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.254
       8   pre_prf_gen_inst/delay_count[13]                                                                                                                                                                                                                                                                         CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.254
       9   pre_prf_gen_inst/delay_count[14]                                                                                                                                                                                                                                                                         CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.254
      10   pre_prf_gen_inst/delay_count[15]                                                                                                                                                                                                                                                                         CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.254
      11   pre_prf_gen_inst/delay_count[1]                                                                                                                                                                                                                                                                          CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.254
      12   pre_prf_gen_inst/delay_count[2]                                                                                                                                                                                                                                                                          CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.254
      13   pre_prf_gen_inst/delay_count[3]                                                                                                                                                                                                                                                                          CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.254
      14   pre_prf_gen_inst/delay_count[4]                                                                                                                                                                                                                                                                          CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.254
